Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Company Type,Full Description,Funding Status,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Number of Investors,Number of Lead Investors,Top 5 Investors,IPO Status,Stock Symbol,Stock Symbol URL,CB Rank (Organization),CB Rank (Company),CB Rank (School),Price,Price Currency,Price Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industry Groups,Number of Employees
Big Hit Entertainment,https://www.crunchbase.com/organization/big-hit-entertainment,"Digital Entertainment, Media and Entertainment, Music","Seoul, Seoul-t'ukpyolsi, South Korea",A South Korean entertainment company.,$10M to $50M,2005.2.1,day,For Profit,is a South Korean entertainment company established in 2005 by Bang Si-hyuk. It currently manages soloist Lee Hyun and idol group BTS.,,1,190000000,USD,190000000,2018.4.4,Corporate Round,190000000,USD,190000000,1,1,Netmarble,Private,,,150,139,,,,,190000000,USD,190000000,190000000,USD,190000000,"Media and Entertainment, Music and Audio",101-250
Naver Corporation,https://www.crunchbase.com/organization/naver-corporation,"Internet of Things, Online Portals, Search Engine","Seongnam, Kyonggi-do, South Korea",Naver Corporation runs South Korea's #1 search engine and offers a large variety of online services for Asian users.,$10B+,1999.6.1,day,For Profit,"NAVER Corporation is South Korea_ premier Internet company, headquartered in Seongnam city and operating the nation_ top search portal NAVER. NAVER was launched in June 1999 and has since stood at the forefront of technological growth, extending its influence to Japan and other foreign countries. NAVER has introduced many innovative search services over the years, such as _omprehensive Search, _nowledge iN, and _eal-time Rising Keyword.' It also offers UGC services such as Blog and Cafe; Junior Naver, a children_ portal; Happybean, an online donation portal. NAVER launched its Webtoon service in June 2004 and has pioneered distribution and consumption of webtoons, also known as digital comics. In addition, NAVER also offers services for the global market, including the mobile messenger LINE through LINE Corporation, NAVER_ subsidiary; the video messenger Snow; and the group communication service BAND. NAVER is also involved in software development and distribution; performances and exhibitions business; mobile content development and distribution; search advertising; internet commerce and customer service business; the operation and security services of IT infrastructure; operating online shopping services; and mobile applications marketing.",IPO,1,5E+11,KRW,438231298,2017.6.27,Post-IPO Equity,5E+11,KRW,438231298,1,1,Mirae Asset Global Investments,Public,35420,https://www.crunchbase.com/ipo/naver-corporation-ipo--6bd9f99b,417,386,,,,,5E+11,KRW,438231298,5E+11,KRW,438231298,Internet Services,5001-10000
Woowa Bros,https://www.crunchbase.com/organization/woowa-bros,"Advertising, Advertising Platforms, Mobile Apps, Software","Seoul, Seoul-t'ukpyolsi, South Korea",WOOWA BROS is a Korean developer of smartphone applications and advertising platforms.,$50M to $100M,2011.3.10,day,For Profit,"WOOWA BROS (办_____) is a Korean developer of smartphone applications and advertising platforms. Its service portfolio also includes local marketing and web services solutions and products, such as a sports events app and a food delivery app. WOOWA BROS was established in March 2011 in Seoul, Korea.",M&A,11,320000000,USD,320000000,2018.12.20,Series G,320000000,USD,320000000,11,5,"Goldman Sachs, Sequoia Capital, GIC, Naver Corporation, Greenspring Associates",Private,,,433,401,,4000000000,USD,4000000000,482788028,USD,482788028,482788028,USD,482788028,"Advertising, Apps, Mobile, Sales and Marketing, Software",501-1000
Socar,https://www.crunchbase.com/organization/socar,"Car Sharing, Communities, Transportation","Busan, Pusan-jikhalsi, South Korea",Socar is a Korean eco-friendly car sharing community that allows travelers to share cars with others who are traveling the same route.,$10M to $50M,2012.3.10,day,For Profit,"Socar is a Korean eco-friendly car sharing community that allows travelers to share cars with others who are traveling the same route. Socar has raised an $18 million round of funding in 2015 which was one of the highest funding deals for a South Korean startup to date. Most notably, it was led by a US investor: Bain Capital, a private investment firm with $80 billion in assets under management. Socar was founded in March 2012, and it has a website and smartphone apps that let users book cars for their own use. Service has over 1,700,000 registered users, 50,000 of whom use the service each month. Around 80,000 transactions per month  that_ more than one car booking each 30 seconds.",Late Stage Venture,7,50000000000,KRW,42622839,2020.9.16,Series F,50000000000,KRW,42622839,13,7,"Softbank Ventures Asia, Altos Ventures, Collaborative Fund, Bain Capital, KB Investment",Private,,,"1,006",953,,,,,2.94E+11,KRW,259529733,2.94E+11,KRW,259529733,"Community and Lifestyle, Transportation",101-250
Coupang,https://www.crunchbase.com/organization/coupang,"Customer Service, E-Commerce, Internet","Seoul, Seoul-t'ukpyolsi, South Korea",Coupang offers an e-commerce platform that is powered by innovative technology and operations.,$1B to $10B,2010.1.1,year,For Profit,"Coupang offers an e-commerce platform that is powered by innovative technology and operations. It places customers first and offers them possible prices and product selection within a highly convenient and personalized shopping environment. Powered by technology and operations, Coupang has set out to transform the end-to-end customer experience from revolutionizing last-mile delivery to rethinking how customers search and discover on a truly mobile-first platform. It was named one of the 50 Smartest Companies in the World by MIT Technology Review and 30 Global Game Changers by Forbes. Coupang is a global company with offices in Beijing, Los Angeles, Seattle, Seoul, Shanghai, and Silicon Valley.",Private Equity,8,2000000000,USD,2000000000,2018.11.20,Private Equity,2000000000,USD,2000000000,20,6,"SoftBank, BlackRock, Sequoia Capital, FJ Labs, Wellington Management",Private,,,"1,052",998,104,,,,3418000000,USD,3418000000,3418000000,USD,3418000000,"Commerce and Shopping, Internet Services, Other, Professional Services",1001-5000
Mirae Asset Global Investments,https://www.crunchbase.com/organization/mirae-asset-global-investments,"Emerging Markets, Financial Services, Hedge Funds","Seoul, Seoul-t'ukpyolsi, South Korea",Mirae Asset Global Investments is a global asset manager providing innovative investment solutions to clients worldwide.,$10B+,1997.6.1,day,For Profit,"Mirae Asset Global Investments is a global asset manager providing innovative investment solutions to clients worldwide. The company originally established in Asia in 1997 has since expanded its presence in 12 countries from Australia to Hong Kong to the United States. Their goal is to provide their clients with insightful financial strategies for all of their investing and financial needs. Their scope of services includes traditional equity & fixed income products, ETF's, and other alternative strategies like hedge funds. They strive to maintain a diversified platform that will benefit their clients and allow us to offer an insightful and research-driven approach to managing their assets.  The company has offices in 12 countries which include Australia, Brazil, Canada, China, Colombia, Hong Kong, India, Korea, Taiwan, the U.K., the United States, and Vietnam",IPO,1,5.0005E+11,KRW,441147928,2017.6.26,Post-IPO Equity,5.0005E+11,KRW,441147928,1,,Naver Corporation,Public,6800,https://www.crunchbase.com/ipo/mirae-asset-global-investments-ipo--cd26d736,"1,535","1,452",,,,,5.0005E+11,KRW,441147928,5.0005E+11,KRW,441147928,"Financial Services, Lending and Investments, Other",501-1000
Toss,https://www.crunchbase.com/organization/toss,"Financial Services, FinTech, Mobile Apps, Mobile Payments, Personal Finance","Seoul, Seoul-t'ukpyolsi, South Korea",Toss is a Korea-based mobile finance platform.,$10M to $50M,2011.1.1,year,For Profit,"Toss is a South Korea-based mobile financial service platform operated by fintech start-up Viva Republica Co Ltd. Since its launching in February of 2015, Toss garnered over 13 million app downloads and processed over USD$10 billion in P2P payments. Adding to its success in P2P payments, Viva Republica Co Ltd. has launched over 10 financials services to become a consumer mobile financial services platform. Toss partners with incumbent financial institutions and other fintech players to provide users with services that cover all facets of their financial lives, including payments, loans, investments, credit score management, spending analysis, and insurance products.",Late Stage Venture,11,173000000,USD,173000000,2020.8.28,Series G,173000000,USD,173000000,16,7,"GIC, Ribbit Capital, Partech, Bessemer Venture Partners, Kleiner Perkins",Private,,,"1,808","1,712",,,,,434200000,USD,434200000,434200000,USD,434200000,"Apps, Financial Services, Mobile, Payments, Software",101-250
MX Player,https://www.crunchbase.com/organization/mx-player,"Apps, Digital Media, Video, Video Streaming","Seoul, Seoul-t'ukpyolsi, South Korea",MX Player is developing a video player with advanced hardware acceleration and subtitle support.,$10M to $50M,2011.7.18,day,For Profit,"MX Player is a powerful video player with advanced hardware acceleration and subtitle support. MX Player developed by J2 Interactive.  MXPlayer offers offline video viewing capabilities and begins to allow users stream exclusive content as an OTT platform. MXPlayer is the largest local video platform in the world with an installed base of 500+ million worldwide, with 350+ million in India and has consistently ranked amongst the top 10 Android apps since 2012.",M&A,1,110800000,USD,110800000,2019.10.30,Series A,110800000,USD,110800000,2,1,"Tencent Holdings, Times Internet",Private,,,"1,975","1,871",,140000000,USD,140000000,110800000,USD,110800000,110800000,USD,110800000,"Apps, Content and Publishing, Media and Entertainment, Software, Video",251-500
Krafton,https://www.crunchbase.com/organization/bluehole,"Android, Consumer Electronics, Gaming, iOS, Mobile, Mobile Apps, Video Games","Seongnam, Kyonggi-do, South Korea",Krafton is a game developer for PC and mobile devices that focuses on fantasy games.,$10M to $50M,2007.3.1,day,For Profit,Krafton is a game developer for PC and mobile devices that focuses on fantasy games.,,1,500000000,USD,500000000,2018.6.13,Secondary Market,,,,1,1,Tencent Holdings,Private,,,"2,091","1,981",,,,,,,,500000000,USD,500000000,"Apps, Consumer Electronics, Gaming, Hardware, Mobile, Platforms, Software",101-250
Lunit,https://www.crunchbase.com/organization/lunit-inc,"Artificial Intelligence, Computer Vision, Health Diagnostics, Image Recognition, Machine Learning, Medical Device, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Conquering cancer through AI-powered imaging biomarker,$1M to $10M,2013.8.24,day,For Profit,"Lunit, abbreviated from _earning unit, is a venture company devoted to developing advanced software for medical data analysis and interpretation via cutting-edge deep learning technology. Our main area of expertise lies in processing medical imaging data. We envision a near-future when our systems would greatly help physicians make accurate, consistent, and efficient clinical decisions, not limited to diagnoses, through our data-driven imaging biomarker technology.  The high level of our deep learning technology has been well demonstrated, ranked top 5 at ImageNet Challenge 2015, which is the world_ largest and most prestigious image recognition competition. What distinguishes our technology from that of other similar parties is full accommodation of weakly labeled data, challenging the boundaries of human understanding in terms of pattern recognition.  Funded by major venture capital companies, Formation 8 and SoftBank Ventures Korea, our endeavors have been well received by the medical community alike and we are now engaged in various large-scale research partnerships with major university hospitals in Korea.",Late Stage Venture,5,26000000,USD,26000000,2020.1.7,Series C,26000000,USD,26000000,10,4,"Softbank Ventures Asia, Legend Capital, Kakao Ventures, Mirae Asset Venture Investment, Formation 8",Private,,,"2,528","2,406",,,,,46478911,USD,46478911,46478911,USD,46478911,"Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",51-100
