,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count,color
33,goPuff,"Philadelphia, Pennsylvania, United States",9,Transportation,2013/11/01,39.9527237,-75.1635262,2,1,#74ABE2
56,Waymo,"Mountain View, California, United States",9,Transportation,2009/01/01,37.3893889,-122.0832101,21,1,#74ABE2
59,Kavak,"Mexico City, Distrito Federal, Mexico",9,Transportation,2016/01/01,19.4326296,-99.1331785,3,1,#74ABE2
77,Tesla,"Palo Alto, California, United States",9,Transportation,2003/01/01,37.4443293,-122.1598465,14,1,#74ABE2
81,Uber Freight,"San Francisco, California, United States",9,Transportation,2017/01/01,37.7790262,-122.4199061,161,10,#74ABE2
88,NIO,"Shanghai, Shanghai, China",9,Transportation,2014/11/01,31.2322758,121.4692071,3,1,#74ABE2
94,ShipBob,"Chicago, Illinois, United States",9,Transportation,2014/01/01,41.8755616,-87.6244212,16,1,#74ABE2
97,Ola,"Kormangala, Karnataka, India",9,Transportation,2010/12/03,12.9492994,77.62115258,1,1,#74ABE2
100,Getaround,"San Francisco, California, United States",9,Transportation,2011/01/01,37.7790262,-122.4199061,161,10,#74ABE2
103,Lime,"San Francisco, California, United States",9,Transportation,2017/01/01,37.7790262,-122.4199061,161,10,#74ABE2
121,Uber,"San Francisco, California, United States",9,Transportation,2009/03/01,37.7790262,-122.4199061,161,10,#74ABE2
155,Einride,"Stockholm, Stockholms Lan, Sweden",9,Transportation,2016/01/01,59.3251172,18.0710935,7,1,#74ABE2
162,Seegrid,"Pittsburgh, Pennsylvania, United States",9,Transportation,2003/01/01,40.4416941,-79.9900861,1,1,#74ABE2
177,Kroger,"Cincinnati, Ohio, United States",9,Transportation,1883-01-01,39.1014537,-84.5124602,1,1,#74ABE2
187,Carvana,"Tempe, Arizona, United States",9,Transportation,2013/01/01,33.4255056,-111.9400125,1,1,#74ABE2
203,SpaceX,"Hawthorne, California, United States",9,Transportation,2002/06/01,33.9188589,-118.3483256,1,1,#74ABE2
